Entity,Code,Day,"Excess mortality P-scores, all ages"
Albania,ALB,2020-01-31,-10.27
Albania,ALB,2020-02-29,4.33
Albania,ALB,2020-03-31,1.52
Albania,ALB,2020-04-30,5.62
Albania,ALB,2020-05-31,6.31
Albania,ALB,2020-06-30,8.2
Albania,ALB,2020-07-31,27.11
Albania,ALB,2020-08-31,44.5
Albania,ALB,2020-09-30,30.18
Albania,ALB,2020-10-31,42.13
Albania,ALB,2020-11-30,117.34
Albania,ALB,2020-12-31,52.93
Armenia,ARM,2020-01-31,-5.89
Armenia,ARM,2020-02-29,2.26
Armenia,ARM,2020-03-31,-6.6
Armenia,ARM,2020-04-30,-2.9
Armenia,ARM,2020-05-31,-6.72
Armenia,ARM,2020-06-30,38.05
Armenia,ARM,2020-07-31,26.37
Armenia,ARM,2020-08-31,1.09
Armenia,ARM,2020-09-30,12.72
Armenia,ARM,2020-10-31,71.71
Armenia,ARM,2020-11-30,161.57
Armenia,ARM,2020-12-31,78.76
Armenia,ARM,2021-01-31,20.8
Australia,AUS,2020-01-05,1.34
Australia,AUS,2020-01-12,0.95
Australia,AUS,2020-01-19,2.22
Australia,AUS,2020-01-26,5.12
Australia,AUS,2020-02-02,3.24
Australia,AUS,2020-02-09,4.42
Australia,AUS,2020-02-16,6.18
Australia,AUS,2020-02-23,4.49
Australia,AUS,2020-03-01,4.88
Australia,AUS,2020-03-08,4.59
Australia,AUS,2020-03-15,4.62
Australia,AUS,2020-03-22,7.28
Australia,AUS,2020-03-29,12.05
Australia,AUS,2020-04-05,11.31
Australia,AUS,2020-04-12,6.25
Australia,AUS,2020-04-19,2.91
Australia,AUS,2020-04-26,5.71
Australia,AUS,2020-05-03,3.18
Australia,AUS,2020-05-10,2.57
Australia,AUS,2020-05-17,-0.8
Australia,AUS,2020-05-24,-0.69
Australia,AUS,2020-05-31,-1.73
Australia,AUS,2020-06-07,-5.26
Australia,AUS,2020-06-14,-3.77
Australia,AUS,2020-06-21,-7.53
Australia,AUS,2020-06-28,-6.46
Australia,AUS,2020-07-05,-6.74
Australia,AUS,2020-07-12,-5.77
Australia,AUS,2020-07-19,-10.72
Australia,AUS,2020-07-26,-0.03
Australia,AUS,2020-08-02,-5.97
Australia,AUS,2020-08-09,-0.84
Australia,AUS,2020-08-16,-1.19
Australia,AUS,2020-08-23,-8.2
Australia,AUS,2020-08-30,-8.63
Australia,AUS,2020-09-06,-4.85
Australia,AUS,2020-09-13,-6.84
Australia,AUS,2020-09-20,-4.33
Australia,AUS,2020-09-27,-3.21
Australia,AUS,2020-10-04,-2.64
Australia,AUS,2020-10-11,-4.83
Australia,AUS,2020-10-18,-5.3
Australia,AUS,2020-10-25,-2.17
Australia,AUS,2020-11-01,0.62
Australia,AUS,2020-11-08,-0.5
Australia,AUS,2020-11-15,2.04
Australia,AUS,2020-11-22,-4.77
Austria,AUT,2020-01-05,-10.78
Austria,AUT,2020-01-12,-8.35
Austria,AUT,2020-01-19,0.59
Austria,AUT,2020-01-26,1.83
Austria,AUT,2020-02-02,7.06
Austria,AUT,2020-02-09,-8.43
Austria,AUT,2020-02-16,-5.06
Austria,AUT,2020-02-23,-5.65
Austria,AUT,2020-03-01,-2.62
Austria,AUT,2020-03-08,-0.55
Austria,AUT,2020-03-15,0.39
Austria,AUT,2020-03-22,14.89
Austria,AUT,2020-03-29,7.24
Austria,AUT,2020-04-05,15.3
Austria,AUT,2020-04-12,15.96
